Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2015 Nissan Leaf ,"Darfield, Canterbury ","   43,900km ",   Hatchback ,   5 ,   Electric ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Feb 2022 ,"$13,800", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/leaf/listing/3284529795?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 1999 Nissan   Van ,"Dunedin, Otago ","   320,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    White ,    5+ owners , :   Imported ,    Expired ,    Dec 2021 ,$205.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/vanette/listing/3286909381?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2015 Hyundai iLoad   Crdi ,"Lower Hutt City, Wellington ","   324,000km ",   Van ,   3 ,   Diesel ,,   Automatic ,    White ,    2 owners , :   NZ New ,    Jan 2022 ,    Jan 2022 ,"$17,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/hyundai/iload/listing/3284528748?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2016 BMW X1   S18d 8 speed auto NZ NEW ,"Auckland City, Auckland ","   5,250km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   NZ New ,    Expired ,    Expired ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/x1/listing/3284537724?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2010 Mazda Demio ,"Invercargill, Southland ","   48,540km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Red ,    1 owner , :   Imported ,    Aug 2022 ,    Apr 2022 ,"$8,300", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/demio/listing/3274852514?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 1986 Toyota Hilux ,"Balclutha, Otago ","   225,000km ",   Ute ,,   Diesel ,,   Manual ,    White ,,,,,"$1,050", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/hilux/listing/3294056994?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2004 Volkswagen Touareg ,"Christchurch City, Canterbury ","   137,000km ",   Station Wagon ,   5 ,   Petrol ,,,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jan 2022 ,"$6,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/volkswagen/touareg/listing/3296712896?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2003 Nissan Teana ,"Hamilton, Waikato ","   168,500km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Dec 2021 ,    Apr 2022 ,"$3,000", Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3294042059?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2006 Nissan Note ,"Hamilton, Waikato ","   126,426km ",   Hatchback ,,   Petrol ,,   Automatic ,    Brown ,    2 owners , :   Imported ,    Dec 2021 ,    Nov 2021 ,"$3,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/note/listing/3294044824?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2003 Toyota Corolla GL  GL  ,"Hamilton, Waikato ","   372,247km ",   Station Wagon ,,   Petrol ,,   Manual ,    White ,    5+ owners , :   NZ New ,    Jan 2022 ,    This month ,"$2,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3294047259?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
