Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2015 Volkswagen Caddy   Tdi ,"Hastings, Hawke's Bay ","   128,200km ",   Van ,,   Diesel ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Expired ,"$18,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/volkswagen/caddy/listing/3289265951?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2006 Nissan Fuga ,"Auckland City, Auckland ","   139,797km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Jun 2022 ,    Mar 2022 ,"$5,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/fuga/listing/3291953949?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2005 Ford Fairlane   Ba Frln Ghia 6C ,"Dunedin, Otago ","   481,033km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   NZ New ,    Jul 2022 ,    Jan 2022 ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/fairlane/listing/3296487828?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 1992 Toyota Crown   Royal Saloon ,"Manukau, Auckland ","   333,000km ",   Sedan ,,   Petrol ,,,    Black ,, :   Imported ,    Jan 2022 ,    Jul 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/crown/listing/3284913306?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2008 Honda EDIX ,"Hibiscus Coast, Auckland ","   92,172km ",   Station Wagon ,,   Petrol ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jun 2022 ,"$6,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/honda/edix/listing/3284977231?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2010 BMW 320i   320I Touring ,"Auckland City, Auckland ","   121,105km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Feb 2022 ,    This month ,"$8,100", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/320i/listing/3284975357?rsqid=dd89926f51144382a4ffb31d8d44ab98-001
 2005 Subaru Legacy ,"Golden Bay, Nelson Bays ","   188,266km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   Imported ,    Dec 2021 ,    Jun 2022 ,"$4,400", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/legacy/listing/3284837382?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 1973 Daimler Other   Double Six Vanden Plas ,"Papakura, Auckland ","   103,922km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Coral Pink ,, :   Imported ,    Expired ,,"$6,250", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/daimler/other/listing/3284845687?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2015 Volkswagen Caddy   Tdi ,"Hastings, Hawke's Bay ","   128,200km ",   Van ,,   Diesel ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Expired ,"$18,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/volkswagen/caddy/listing/3289265951?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2006 Nissan Fuga ,"Auckland City, Auckland ","   139,797km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Jun 2022 ,    Mar 2022 ,"$5,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/fuga/listing/3291953949?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2005 Ford Fairlane   Ba Frln Ghia 6C ,"Dunedin, Otago ","   481,033km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   NZ New ,    Jul 2022 ,    Jan 2022 ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/fairlane/listing/3296487828?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 1992 Toyota Crown   Royal Saloon ,"Manukau, Auckland ","   333,000km ",   Sedan ,,   Petrol ,,,    Black ,, :   Imported ,    Jan 2022 ,    Jul 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/crown/listing/3284913306?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2008 Honda EDIX ,"Hibiscus Coast, Auckland ","   92,172km ",   Station Wagon ,,   Petrol ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jun 2022 ,"$6,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/honda/edix/listing/3284977231?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 2010 BMW 320i   320I Touring ,"Auckland City, Auckland ","   121,105km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Feb 2022 ,    This month ,"$8,100", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/320i/listing/3284975357?rsqid=3bbdeecec76f43a1a99ae449f205fdee-001
 1973 Daimler Other   Double Six Vanden Plas ,"Papakura, Auckland ","   103,922km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Coral Pink ,, :   Imported ,    Expired ,,"$6,250", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/daimler/other/listing/3284845687?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2015 Volkswagen Caddy   Tdi ,"Hastings, Hawke's Bay ","   128,200km ",   Van ,,   Diesel ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Expired ,"$18,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/volkswagen/caddy/listing/3289265951?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2006 Nissan Fuga ,"Auckland City, Auckland ","   139,797km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Jun 2022 ,    Mar 2022 ,"$5,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/fuga/listing/3291953949?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2005 Ford Fairlane   Ba Frln Ghia 6C ,"Dunedin, Otago ","   481,033km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   NZ New ,    Jul 2022 ,    Jan 2022 ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/fairlane/listing/3296487828?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 1992 Toyota Crown   Royal Saloon ,"Manukau, Auckland ","   333,000km ",   Sedan ,,   Petrol ,,,    Black ,, :   Imported ,    Jan 2022 ,    Jul 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/crown/listing/3284913306?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2008 Honda EDIX ,"Hibiscus Coast, Auckland ","   92,172km ",   Station Wagon ,,   Petrol ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jun 2022 ,"$6,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/honda/edix/listing/3284977231?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2010 BMW 320i   320I Touring ,"Auckland City, Auckland ","   121,105km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Feb 2022 ,    This month ,"$8,100", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/320i/listing/3284975357?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2002 Mercedes-Benz A 190   Project car ,"Dunedin, Otago ","   177,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Blue ,    3 owners , :   NZ New ,    Dec 2021 ,    Expired ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/a-190/listing/3285235592?rsqid=5efd7255f0314668ac81a1c4e361f683-001
 2005 Toyota Estima   Aeres L Premium  ,"Christchurch City, Canterbury ","   149,500km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$6,495", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/estima/listing/3284858478?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2003 Suzuki Jimny   Sierra ,"Gore, Southland ","   261,817km ",   RV/SUV ,   4 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Dec 2021 ,    Apr 2022 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/suzuki/jimny/listing/3284755456?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2013 Jeep Grand Cherokee   Srt8 ,"Manukau, Auckland ","   127,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Grey ,, :   NZ New ,    This month ,    Expired ,"$48,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/jeep/grand-cherokee/listing/3284861132?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2011 Mazda CX-7   Gsx ,"North Shore, Auckland ","   200,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Black ,    3 owners , :   NZ New ,    This month ,    This month ,"$7,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/cx-7/listing/3231651059?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2000 Rover Other   Range rover  ,"Christchurch City, Canterbury ","   193,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Red ,, :   Imported ,    Sep 2022 ,    Jul 2022 ,"$7,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/rover/other/listing/3291245084?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2009 BMW M3   E93 Convertible ,"North Shore, Auckland ","   113,000km ",   Convertible ,   4 ,   Petrol ,,   Tiptronic ,    White ,    2 owners , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$36,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/m3/listing/3293350976?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2012 Toyota Highlander   Ltd ,"Upper Hutt City, Wellington ","   95,113km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    3 owners , :   NZ New ,    Feb 2022 ,    Feb 2022 ,"$25,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/highlander/listing/3299237314?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2008 Audi A4   Avant 1.8 Tfsi ,"Kapiti, Wellington ","   125,000km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Black ,    1 owner , :   Imported ,    Mar 2022 ,    This month ,"$8,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/audi/a4/listing/3287701766?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2001 Toyota Corolla   Runx Z ,"Christchurch City, Canterbury ","   124,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    White ,    2 owners , :   Imported ,    Feb 2022 ,    Jul 2022 ,"$5,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3275999336?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2010 Holden Colorado   Lt Crw Pu Dsl ,"Waitakere, Auckland ","   284,000km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    2 owners , :   NZ New ,    Nov 2021 ,    Jul 2022 ,"$13,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/colorado/listing/3291004980?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 1957 Dodge Other   Coronet ,"Waitakere, Auckland ","   999,999km ",   Sedan ,   6 ,   Petrol ,,,    Grey ,, :   Imported ,,,"$12,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/dodge/other/listing/3268819247?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2008 Ford Mustang ,"North Shore, Auckland ","   91,000km ",   Convertible ,,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Feb 2022 ,    Apr 2022 ,"$32,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mustang/listing/3284198587?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2015 Toyota Vellfire ,"Dunedin, Otago ","   48,000km ",   Station Wagon ,   8 ,   Petrol ,,   Automatic ,    White ,    3 owners , :   Imported ,    Mar 2022 ,    Nov 2021 ,"$35,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284649292?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 1999 Ford Mondeo ,"Masterton, Wairarapa ","   159,000km ",   Sedan ,   5 ,   Petrol ,,   Manual ,    Blue ,,,,,$500.00, No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3284915461?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2015 Volkswagen Caddy   Tdi ,"Hastings, Hawke's Bay ","   128,200km ",   Van ,,   Diesel ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Expired ,"$18,999", No reserve ,https://www.trademe.co.nz/a/motors/cars/volkswagen/caddy/listing/3289265951?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2006 Nissan Fuga ,"Auckland City, Auckland ","   139,797km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,    1 owner , :   Imported ,    Jun 2022 ,    Mar 2022 ,"$5,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/fuga/listing/3291953949?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
 2005 Ford Fairlane   Ba Frln Ghia 6C ,"Dunedin, Otago ","   481,033km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   NZ New ,    Jul 2022 ,    Jan 2022 ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/fairlane/listing/3296487828?rsqid=9899052db3d14ceca1ffb5326e0b7c46-001
